ISBN,Book-Title,Book-Author,Publisher,Genre,combined_features
440224012,Heartwood,James Lee Burke,Island,,Heartwood James Lee Burke Island 
786012676,Blood of Others,Rick Mofina,Zebra Books,,Blood of Others Rick Mofina Zebra Books 
075153286X,Whistling for the Elephants,Sandi Toksvig,Time Warner Paperbacks,,Whistling for the Elephants Sandi Toksvig Time Warner Paperbacks 
349114021,Bilgewater,Jane Gardham,Little Brown UK Ltd,,Bilgewater Jane Gardham Little Brown UK Ltd 
552997803,Knowledge of Angels,Jill Paton Walsh,Bantam Pr Ltd,,Knowledge of Angels Jill Paton Walsh Bantam Pr Ltd 
566074184,The Goal: Beating the Competition,Eliyahu Goldratt,Ashgate Pub Co,,The Goal: Beating the Competition Eliyahu Goldratt Ashgate Pub Co 
140250409,No Night Is Too Long,Barbara Vine,Penguin Putnam~trade,,No Night Is Too Long Barbara Vine Penguin Putnam~trade 
034082607X,The Rice Mother,Rani Manicka,Hodder &amp; Stoughton General Division,,The Rice Mother Rani Manicka Hodder &amp; Stoughton General Division 
753804549,Dream Woman and Other Stories,Wilkie Collins,Firebird Distributing,,Dream Woman and Other Stories Wilkie Collins Firebird Distributing 
722176082,Jenny Alone,Judith Saxton,Time Warner Paperbacks,,Jenny Alone Judith Saxton Time Warner Paperbacks 
6372570,Don't Ask the Price: The Memoirs of the President of Marks &amp; Spencer,Marcus Sieff,HarperCollins Publishers,,Don't Ask the Price: The Memoirs of the President of Marks &amp; Spencer Marcus Sieff HarperCollins Publishers 
330293796,Lester,Dick Francis,Pan Macmillan,,Lester Dick Francis Pan Macmillan 
034060977X,Dancing in the Moonlight,Ronnie Barker,Coronet Books,,Dancing in the Moonlight Ronnie Barker Coronet Books 
751511935,No Medals for the Major,Margaret Yorke,Little Brown and Company,,No Medals for the Major Margaret Yorke Little Brown and Company 
962500631,The Undutchables: A Observation of the Netherlands : Its Culture and Its Inhabitants,Colin White,White Boucke Pub,,The Undutchables: A Observation of the Netherlands : Its Culture and Its Inhabitants Colin White White Boucke Pub 
951980424,Living and Working in Spain: A Survival Handbook (Living and Working Guides),David Hampshire,Survival Books,,Living and Working in Spain: A Survival Handbook (Living and Working Guides) David Hampshire Survival Books 
140071814,The Kingdom by the Sea: A Journey Around the Coast of Great Britain,Paul Theroux,Penguin Books,,The Kingdom by the Sea: A Journey Around the Coast of Great Britain Paul Theroux Penguin Books 
055299619x,Human Croquet,Kate Atkinson,Harpercollins U,,Human Croquet Kate Atkinson Harpercollins U 
1857021037,Mortal Beings,Carl Lombard,Trafalgar Square,,Mortal Beings Carl Lombard Trafalgar Square 
014302812X,The Merlion and the Hibiscus: Contemporary Short Stories from Singapore and Malaysia,Michelle A. Edwards,Penguin Books,,The Merlion and the Hibiscus: Contemporary Short Stories from Singapore and Malaysia Michelle A. Edwards Penguin Books 
345460391,The Saints and Sinners of Okay County,DAYNA DUNBAR,Ballantine Books,,The Saints and Sinners of Okay County DAYNA DUNBAR Ballantine Books 
553566067,Virtual Light,WILLIAM GIBSON,Bantam,,Virtual Light WILLIAM GIBSON Bantam 
694016446,Spider-Man: I Am Spider-Man,Acton Figueroa,HarperFestival,,Spider-Man: I Am Spider-Man Acton Figueroa HarperFestival 
345433327,"Black Creek Crossing (Saul, John)",John Saul,Ballantine Books,,"Black Creek Crossing (Saul, John) John Saul Ballantine Books "
038550943X,Going to Bend : A Novel,DIANE HAMMOND,Doubleday,,Going to Bend : A Novel DIANE HAMMOND Doubleday 
671519867,GRIEF STREET (Neil Hockaday Mystery),Thomas Adcock,Atria,,GRIEF STREET (Neil Hockaday Mystery) Thomas Adcock Atria 
375811729,Cassie's Runaway Kite (Jellybean Books),Margaret Snyder,Random House Children's Books,,Cassie's Runaway Kite (Jellybean Books) Margaret Snyder Random House Children's Books 
786015772,No Stone Unturned: The True Story of the World's Premier Forensic Investigators,Steve Jackson,Pinnacle Books,,No Stone Unturned: The True Story of the World's Premier Forensic Investigators Steve Jackson Pinnacle Books 
786880112,Two for Texas,James Lee Burke,Hyperion,,Two for Texas James Lee Burke Hyperion 
688174590,Kisscut : A Novel,Karin Slaughter,William Morrow,,Kisscut : A Novel Karin Slaughter William Morrow 
525947302,Family Trust,Amanda Brown,Dutton Books,,Family Trust Amanda Brown Dutton Books 
525947132,The Room-Mating Season,Rona Jaffe,Dutton Books,,The Room-Mating Season Rona Jaffe Dutton Books 
743229061,Absolute Certainty : A Crime Novel,Rose Connors,Scribner,,Absolute Certainty : A Crime Novel Rose Connors Scribner 
316102121,American Icon : A Novel,Pat Booth,"Little, Brown",,"American Icon : A Novel Pat Booth Little, Brown "
312192428,Blind Items: A (Love) Story,Matthew Rettenmund,St. Martin's Press,,Blind Items: A (Love) Story Matthew Rettenmund St. Martin's Press 
440220440,Deal Breaker (Myron Bolitar Mysteries (Paperback)),HARLAN COBEN,Dell,,Deal Breaker (Myron Bolitar Mysteries (Paperback)) HARLAN COBEN Dell 
440222702,Back Spin (Myron Bolitar Mysteries (Paperback)),HARLAN COBEN,Dell,,Back Spin (Myron Bolitar Mysteries (Paperback)) HARLAN COBEN Dell 
440222680,Fade Away (Myron Bolitar Mysteries (Paperback)),HARLAN COBEN,Dell,,Fade Away (Myron Bolitar Mysteries (Paperback)) HARLAN COBEN Dell 
440220459,Drop Shot (Myron Bolitar Mysteries (Paperback)),HARLAN COBEN,Dell,,Drop Shot (Myron Bolitar Mysteries (Paperback)) HARLAN COBEN Dell 
753700891,The World's Greatest Serial Killers (The World's Greatest),Nigel Cawthorne,Bounty Books,,The World's Greatest Serial Killers (The World's Greatest) Nigel Cawthorne Bounty Books 
60509406,Mrs. Kimble : A Novel,Jennifer Haigh,Perennial,,Mrs. Kimble : A Novel Jennifer Haigh Perennial 
1578566363,Garden of Dreams,Leslie Gould,Waterbrook Press,,Garden of Dreams Leslie Gould Waterbrook Press 
743448677,Without Pity : Ann Rule's Most Dangerous Killers,Ann Rule,Pocket,,Without Pity : Ann Rule's Most Dangerous Killers Ann Rule Pocket 
60560754,The Dim Sum of All Things,Kim Wong Keltner,Avon Trade,,The Dim Sum of All Things Kim Wong Keltner Avon Trade 
451211200,I Never Promised You a Rose Garden,Joanne Greenberg,New American Library,,I Never Promised You a Rose Garden Joanne Greenberg New American Library 
849939372,The Family Manager,Kathy Peel,W Publishing Group,,The Family Manager Kathy Peel W Publishing Group 
1892065444,Cats In Cyberspace,Beth Hilgartner,Meisha Merlin Publishing,,Cats In Cyberspace Beth Hilgartner Meisha Merlin Publishing 
330487949,Wow,Claudia Pattison,Pan Books - Macmillan UK,,Wow Claudia Pattison Pan Books - Macmillan UK 
031225234X,Name Dropping,Jane Heller,St Martins Pr,,Name Dropping Jane Heller St Martins Pr 
1583143203,Surviving Mr. Right,Teresa McClain-Watson,Bet Books,,Surviving Mr. Right Teresa McClain-Watson Bet Books 
60595620,The Sweetest Taboo,Carole Matthews,Avon Trade,,The Sweetest Taboo Carole Matthews Avon Trade 
312209517,Life Skills,Katie Fforde,St. Martin's Press,,Life Skills Katie Fforde St. Martin's Press 
312284683,Faking It,Jennifer Crusie,St. Martin's Press,,Faking It Jennifer Crusie St. Martin's Press 
60595833,Almost Like Being in Love : A Novel,Steve Kluger,Perennial,,Almost Like Being in Love : A Novel Steve Kluger Perennial 
345278666,Desert Solitaire a Season In the Wildern,Edward Abbey,Ballantine Books,,Desert Solitaire a Season In the Wildern Edward Abbey Ballantine Books 
380800373,Three Kisses (Avon Light Contemporary Romances),Cait London,Avon,,Three Kisses (Avon Light Contemporary Romances) Cait London Avon 
373440081,"Madcap Heiress (Harlequin Love &amp; Laughter, No 8)",Jim Alexander,Harlequin,,"Madcap Heiress (Harlequin Love &amp; Laughter, No 8) Jim Alexander Harlequin "
385319347,Lost in Translation,Nicole Mones,Bantam Dell Pub Group,,Lost in Translation Nicole Mones Bantam Dell Pub Group 
743229584,Wide Blue Yonder: A Novel,Jean Thompson,Simon &amp; Schuster,,Wide Blue Yonder: A Novel Jean Thompson Simon &amp; Schuster 
451160436,I5 Killer,Ann Rule,Penguin Putnam~mass,,I5 Killer Ann Rule Penguin Putnam~mass 
743454510,Second Glance : A Novel,Jodi Picoult,Washington Square Press,,Second Glance : A Novel Jodi Picoult Washington Square Press 
037541388X,Her,LAURA ZIGMAN,Knopf,,Her LAURA ZIGMAN Knopf 
515126772,Jewels of the Sun (Irish Trilogy),Nora Roberts,Jove Books,,Jewels of the Sun (Irish Trilogy) Nora Roberts Jove Books 
60086386,Filthy Rich,Dorothy Samuels,Avon Trade,,Filthy Rich Dorothy Samuels Avon Trade 
767903854,In a Sunburned Country,Bill Bryson,Broadway Books,,In a Sunburned Country Bill Bryson Broadway Books 
446521507,Tails from the Barkside,Brian Kilcommons,Warner Books,,Tails from the Barkside Brian Kilcommons Warner Books 
451407482,Mama's Boy: The True Story of a Serial Killer and His Mother,Richard T. Pienciak,Onyx Books,,Mama's Boy: The True Story of a Serial Killer and His Mother Richard T. Pienciak Onyx Books 
60393149,The Summer Wind : Thomas Capano and the Murder of Anne Marie Fahey,George Anastasia,Harpercollins,,The Summer Wind : Thomas Capano and the Murder of Anne Marie Fahey George Anastasia Harpercollins 
1899712186,Mind Bending Classic Logic Puzzles (Mind-Bending Classic Logic Puzzles),Lagoon Books,Lagoon Books,,Mind Bending Classic Logic Puzzles (Mind-Bending Classic Logic Puzzles) Lagoon Books Lagoon Books 
316317713,The Courts of Love: Stories,Ellen Gilchrist,Back Bay Books,,The Courts of Love: Stories Ellen Gilchrist Back Bay Books 
1902852427,Bend Sinister : The Gay Times Book of Short Stories 3 (Gay Times Books),Peter Burton,GMP,,Bend Sinister : The Gay Times Book of Short Stories 3 (Gay Times Books) Peter Burton GMP 
345367081,Chili Dawgs Always Bark at Night,LEWIS GRIZZARD,Ballantine Books,,Chili Dawgs Always Bark at Night LEWIS GRIZZARD Ballantine Books 
042513749X,Dead in the Water (Kate Shugak Mysteries (Paperback)),Dana Stabenow,Berkley Publishing Group,,Dead in the Water (Kate Shugak Mysteries (Paperback)) Dana Stabenow Berkley Publishing Group 
671042696,Candy Is Dandy (Nancy Drew Notebooks No. 38),Carolyn Keene,Aladdin,,Candy Is Dandy (Nancy Drew Notebooks No. 38) Carolyn Keene Aladdin 
394882695,Richard Scarry's Bedtime Stories (Picturebacks),Richard Scarry,Random House Children's Books,,Richard Scarry's Bedtime Stories (Picturebacks) Richard Scarry Random House Children's Books 
590456601,Mallory Hates Boys and Gym (Baby-Sitters Club (Paperback)),Ann M. Martin,Scholastic,,Mallory Hates Boys and Gym (Baby-Sitters Club (Paperback)) Ann M. Martin Scholastic 
590425013,"Welcome Back, Stacey (Baby-Sitters Club, 28)",Ann M. Martin,Scholastic,,"Welcome Back, Stacey (Baby-Sitters Club, 28) Ann M. Martin Scholastic "
590424971,"Dawn's Wicked Stepsister (Baby-Sitters Club, 31)",Ann M. Martin,Scholastic Paperbacks,,"Dawn's Wicked Stepsister (Baby-Sitters Club, 31) Ann M. Martin Scholastic Paperbacks "
590437208,"Dawn and the Impossible Three (Baby-Sitters Club, Book 5)",Ann M. Martin,Scholastic,,"Dawn and the Impossible Three (Baby-Sitters Club, Book 5) Ann M. Martin Scholastic "
590435124,"Mary Anne Saves the Day (Baby-Sitters Club, 4)",Ann M. Martin,Scholastic Paperbacks (Mm),,"Mary Anne Saves the Day (Baby-Sitters Club, 4) Ann M. Martin Scholastic Paperbacks (Mm) "
590401386,Little's Give a Party,John Peterson,Scholastic,,Little's Give a Party John Peterson Scholastic 
590438999,Kristy's Big Day (Baby-Sitters Club (Paperback)),Ann M. Martin,Scholastic Paperbacks,,Kristy's Big Day (Baby-Sitters Club (Paperback)) Ann M. Martin Scholastic Paperbacks 
140548130,There's Something in My Attic (A Pied Piper Book),Mercer Mayer,Puffin Books,,There's Something in My Attic (A Pied Piper Book) Mercer Mayer Puffin Books 
60093412,"New Adventures of Mary-Kate &amp; Ashley #37: The Case of the Tattooed Cat : (The Case of the Tattooed Cat) (New Adventures of Mary-Kate and Ashley, 37)",Mary-Kate &amp; Ashley Olsen,HarperEntertainment,,"New Adventures of Mary-Kate &amp; Ashley #37: The Case of the Tattooed Cat : (The Case of the Tattooed Cat) (New Adventures of Mary-Kate and Ashley, 37) Mary-Kate &amp; Ashley Olsen HarperEntertainment "
590880144,"The Case of the Volcano Mystery: A Novelization (Adventures of Mary-Kate &amp; Ashley, No 8)",Carol Thompson,Scholastic,,"The Case of the Volcano Mystery: A Novelization (Adventures of Mary-Kate &amp; Ashley, No 8) Carol Thompson Scholastic "
068984042X,Hall Monitor,Annie Auerbach,Simon Spotlight,,Hall Monitor Annie Auerbach Simon Spotlight 
689841930,Sandy's Rocket (Spongebob Squarepants),Steven Banks,Simon Spotlight,,Sandy's Rocket (Spongebob Squarepants) Steven Banks Simon Spotlight 
380491710,"Good Work, Amelia Bedelia",Peggy Parish,Harper Mass Market Paperbacks,,"Good Work, Amelia Bedelia Peggy Parish Harper Mass Market Paperbacks "
590442996,"Karen's Worst Day (Baby-Sitters Little Sister, 3)",Ann M. Martin,Scholastic,,"Karen's Worst Day (Baby-Sitters Little Sister, 3) Ann M. Martin Scholastic "
750012706,Drina Ballerina (The Drina Books),Jean Estoril,Hodder Wayland,,Drina Ballerina (The Drina Books) Jean Estoril Hodder Wayland 
396077897,Monsters You Never Heard of,Daniel Cohen,Putnam Pub Group,,Monsters You Never Heard of Daniel Cohen Putnam Pub Group 
590420070,Dawn on the Coast (Baby-Sitters Club (Paperback)),Ann M. Martin,Scholastic Paperbacks,,Dawn on the Coast (Baby-Sitters Club (Paperback)) Ann M. Martin Scholastic Paperbacks 
590433466,The Secret Garden,Frances H. Burnett,Scholastic,,The Secret Garden Frances H. Burnett Scholastic 
743423569,Not Guilty,Patricia MacDonald,Pocket,,Not Guilty Patricia MacDonald Pocket 
1889186414,Mother Bitchfight,Edward Lee,Necro Pubns,,Mother Bitchfight Edward Lee Necro Pubns 
451211189,A Night As Clear As Day,R. J. Rosenblum,New American Library,,A Night As Clear As Day R. J. Rosenblum New American Library 
451206355,Frontera Street,Tanya Maria Barrientos,New American Library,,Frontera Street Tanya Maria Barrientos New American Library 
312850514,Midnight Sun,Ramsay Campbell,St Martins Pr,,Midnight Sun Ramsay Campbell St Martins Pr 
312269374,Coming Back to Me,Caroline Leavitt,St. Martin's Press,,Coming Back to Me Caroline Leavitt St. Martin's Press 
425129551,Billy,Whitley Strieber,Berkley Publishing Group,,Billy Whitley Strieber Berkley Publishing Group 
60565519,"Take Me, Take Me with You : A Novel of Suspense",Lauren Kelly,Ecco,,"Take Me, Take Me with You : A Novel of Suspense Lauren Kelly Ecco "
1400060923,"Lost Boy, Lost Girl",PETER STRAUB,Random House,,"Lost Boy, Lost Girl PETER STRAUB Random House "
843951710,Possessions,James A. Moore,Leisure Books,,Possessions James A. Moore Leisure Books 
399151273,Retribution,Jilliane Hoffman,G. P. Putnam's Sons,,Retribution Jilliane Hoffman G. P. Putnam's Sons 
316570826,The Man in My Basement: A Novel,Walter Mosley,"Little, Brown",,"The Man in My Basement: A Novel Walter Mosley Little, Brown "
843951575,In This Skin,Simon Clark,Leisure Books,,In This Skin Simon Clark Leisure Books 
743412761,Cameo Lake,Susan Wilson,Atria,,Cameo Lake Susan Wilson Atria 
60199105,What's the Girl Worth?,Christina Fitzpatrick,HarperCollins,,What's the Girl Worth? Christina Fitzpatrick HarperCollins 
451205758,The Matter of Grace (Nal Accent Novels),Jessica Barksdale Inclan,New American Library,,The Matter of Grace (Nal Accent Novels) Jessica Barksdale Inclan New American Library 
385334370,Handyman,Linda Nichols,Bantam Dell Pub Group,,Handyman Linda Nichols Bantam Dell Pub Group 
972915710,Teratologist,Edward Lee,Medium Rare Books,,Teratologist Edward Lee Medium Rare Books 
312983832,Nobody Knows,Mary Jane Clark,St. Martin's Paperbacks,,Nobody Knows Mary Jane Clark St. Martin's Paperbacks 
1557736154,Offspring,Jack Ketchum,Diamond/Charter,,Offspring Jack Ketchum Diamond/Charter 
039915180X,Hidden Prey,John Sandford,Putnam Publishing Group,,Hidden Prey John Sandford Putnam Publishing Group 
61032212,Sleepyhead,Mark Billingham,Avon Books,,Sleepyhead Mark Billingham Avon Books 
451211197,One Small Thing,Jessica Barksdale Inclan,NAL Accent,,One Small Thing Jessica Barksdale Inclan NAL Accent 
081296814X,Durable Goods : A Novel (Ballantine Reader's Circle),ELIZABETH BERG,Ballantine Books,,Durable Goods : A Novel (Ballantine Reader's Circle) ELIZABETH BERG Ballantine Books 
1401300189,The Bone Parade,Mark Nykanen,Hyperion,,The Bone Parade Mark Nykanen Hyperion 
1840680059,Cows,Matthew Stokoe,Creation Books,,Cows Matthew Stokoe Creation Books 
1892950138,The Bighead : Author's Preferred Version,Edward Lee,Overlook Connection Press,,The Bighead : Author's Preferred Version Edward Lee Overlook Connection Press 
1887368698,Sleep Disorder,Jack Ketchum,Gauntlet,,Sleep Disorder Jack Ketchum Gauntlet 
312286449,Desert Places,Blake Crouch,St. Martin's Minotaur,,Desert Places Blake Crouch St. Martin's Minotaur 
345445724,Entering Normal,Anne D. Leclaire,Ballantine Books,,Entering Normal Anne D. Leclaire Ballantine Books 
843953276,Black Fire,James Kidman,Leisure Books,,Black Fire James Kidman Leisure Books 
084395177X,Nightmare House,Douglas Clegg,Leisure Books,,Nightmare House Douglas Clegg Leisure Books 
553298186,Summer of the Monkeys (Bantam Starfire Books),Wilson Rawls,Bantam,,Summer of the Monkeys (Bantam Starfire Books) Wilson Rawls Bantam 
553298917,Shackled,Ray Garton,Bantam,,Shackled Ray Garton Bantam 
970998716,Dean Koontz: 3 Complete Novels (Dark Rivers of the Heart / Sole Survivor / Intensity),Dean R. Koontz,Bright Sky Press,,Dean Koontz: 3 Complete Novels (Dark Rivers of the Heart / Sole Survivor / Intensity) Dean R. Koontz Bright Sky Press 
055310666X,False Memory,Dean R. Koontz,Bantam Books,,False Memory Dean R. Koontz Bantam Books 
385335520,The Cottage,Danielle Steel,Delacorte Press,,The Cottage Danielle Steel Delacorte Press 
385335490,Johnny Angel,DANIELLE STEEL,Delacorte Press,,Johnny Angel DANIELLE STEEL Delacorte Press 
758205511,Bad Boys to Go,Lori Foster,BRAVA,,Bad Boys to Go Lori Foster BRAVA 
553801430,By the Light of the Moon,DEAN KOONTZ,Bantam,,By the Light of the Moon DEAN KOONTZ Bantam 
66212995,Sleepyhead,Mark Billingham,William Morrow &amp; Company,,Sleepyhead Mark Billingham William Morrow &amp; Company 
1402201478,The Last Noel,Michael Malone,Sourcebooks Landmark,,The Last Noel Michael Malone Sourcebooks Landmark 
425145662,Joyride,Jack Ketchum,Berkley Publishing Group,,Joyride Jack Ketchum Berkley Publishing Group 
312289510,The Christmas Shoes,Donna VanLiere,St. Martin's Press,,The Christmas Shoes Donna VanLiere St. Martin's Press 
786014555,Dark Masques,J. N. Williamson,Pinnacle Books,,Dark Masques J. N. Williamson Pinnacle Books 
843952199,The Wyrm,Stephen Laws,Leisure Books,,The Wyrm Stephen Laws Leisure Books 
843953292,In Silent Graves,Gary A. Braunbeck,Leisure Books,,In Silent Graves Gary A. Braunbeck Leisure Books 
843951826,Body Rides,Richard Laymon,Leisure Books,,Body Rides Richard Laymon Leisure Books 
843952571,Borrowed Flesh,Sephera Giron,Leisure Books,,Borrowed Flesh Sephera Giron Leisure Books 
743242548,Stacking in Rivertown,Barbara Bell,Simon &amp; Schuster,,Stacking in Rivertown Barbara Bell Simon &amp; Schuster 
1592861857,The Fire Within,Kevin Yarbrough,Publishamerica,,The Fire Within Kevin Yarbrough Publishamerica 
189295012X,Safety of Unknown Cities,Lucy Taylor,Overlook Connection Press,,Safety of Unknown Cities Lucy Taylor Overlook Connection Press 
553382527,Keeping Watch,LAURIE R. KING,Bantam,,Keeping Watch LAURIE R. KING Bantam 
553573691,Venus,JANE FEATHER,Bantam,,Venus JANE FEATHER Bantam 
037324598X,"Bluegrass Baby (Silhouette Special Edition, 1598)",Judy Duarte,Silhouette,,"Bluegrass Baby (Silhouette Special Edition, 1598) Judy Duarte Silhouette "
1551662604,This Matter Of Marriage,Debbie Macomber,Mira,,This Matter Of Marriage Debbie Macomber Mira 
972930930,Poisoning Eros,Wrath James White,3f Publications,,Poisoning Eros Wrath James White 3f Publications 
1887368353,Ladies Night,Jack Ketchum,Gauntlet,,Ladies Night Jack Ketchum Gauntlet 
1587670674,The Crossings,Jack Ketchum,Cemetery Dance Publications,,The Crossings Jack Ketchum Cemetery Dance Publications 
312272758,Panic Snap,Laura Reese,St. Martin's Press,,Panic Snap Laura Reese St. Martin's Press 
843950404,Red,Jack Ketchum,Leisure Books,,Red Jack Ketchum Leisure Books 
843950463,Night in the Lonesome October,Richard Laymon,Leisure Books,,Night in the Lonesome October Richard Laymon Leisure Books 
451194004,Rosemary's Baby,Ira Levin,Signet Book,,Rosemary's Baby Ira Levin Signet Book 
679753362,Born Bad: Stories (Vintage Crime/Black Lizard),Andrew H. Vachss,Vintage Books USA,,Born Bad: Stories (Vintage Crime/Black Lizard) Andrew H. Vachss Vintage Books USA 
843952032,Infernal Angel,Edward Lee,Leisure Books,,Infernal Angel Edward Lee Leisure Books 
743453468,Whispers at Midnight,Karen Robards,Atria Books,,Whispers at Midnight Karen Robards Atria Books 
679735771,American Psycho (Vintage Contemporaries),Bret Easton Ellis,Vintage Books USA,,American Psycho (Vintage Contemporaries) Bret Easton Ellis Vintage Books USA 
843951036,No Sanctuary,Richard Laymon,Leisure Books,,No Sanctuary Richard Laymon Leisure Books 
671014188,The Summerhouse,Jude Deveraux,Atria,,The Summerhouse Jude Deveraux Atria 
345447832,The Surgeon,TESS GERRITSEN,Ballantine Books,,The Surgeon TESS GERRITSEN Ballantine Books 
345439007,All the Dead Were Strangers (Conrad Voort Novels (Hardcover)),Ethan Black,Ballantine Books,,All the Dead Were Strangers (Conrad Voort Novels (Hardcover)) Ethan Black Ballantine Books 
843951532,Four Dark Nights,Bentley Little,Leisure Books,,Four Dark Nights Bentley Little Leisure Books 
765345080,Hunted Past Reason,Richard Matheson,Forge Books,,Hunted Past Reason Richard Matheson Forge Books 
1551669730,This Matter Of Marriage,Debbie Macomber,Mira,,This Matter Of Marriage Debbie Macomber Mira 
843951818,Blood Games,Richard Laymon,Leisure Books,,Blood Games Richard Laymon Leisure Books 
140620222,Pride and Prejudice (Penguin Popular Classics),Jane Austen,Penguin Books Ltd,,Pride and Prejudice (Penguin Popular Classics) Jane Austen Penguin Books Ltd 
1894815351,Suffer the Flesh,Monica J. O'Rourke,Prime (OH),,Suffer the Flesh Monica J. O'Rourke Prime (OH) 
373230117,Yesterday's Memories  (By Request 2's),Tara Taylor Quinn,Harlequin,,Yesterday's Memories  (By Request 2's) Tara Taylor Quinn Harlequin 
1889186384,Portrait of the Psychopath as a Young Woman,Edward Lee,Necro Pubns,,Portrait of the Psychopath as a Young Woman Edward Lee Necro Pubns 
1887368566,Right to Life: And 2 Stories,Jack Ketchum,Gauntlet Press,,Right to Life: And 2 Stories Jack Ketchum Gauntlet Press 
1892950618,The Girl Next Door,Jack Ketchum,Overlook Connection Press,,The Girl Next Door Jack Ketchum Overlook Connection Press 
385336306,Safe Harbour,DANIELLE STEEL,Delacorte Press,,Safe Harbour DANIELLE STEEL Delacorte Press 
399151729,A Royal Duty,Paul Burrell,Putnam Publishing Group,,A Royal Duty Paul Burrell Putnam Publishing Group 
671738763,LIE TO ME,David Martin,Pocket,,LIE TO ME David Martin Pocket 
892967269,Beneath the Skin,Nicci French,Mysterious Press,,Beneath the Skin Nicci French Mysterious Press 
679410554,Tap Tap,David Martin,Random House Inc,,Tap Tap David Martin Random House Inc 
373785070,Hideaway,Hannah Alexander,Steeple Hill,,Hideaway Hannah Alexander Steeple Hill 
786015578,Black Water,T. J. MacGregor,Pinnacle Books,,Black Water T. J. MacGregor Pinnacle Books 
1551667207,Danger Zone,Shirley Palmer,Mira Books,,Danger Zone Shirley Palmer Mira Books 
843946903,One Rainy Night,Richard Laymon,Leisure Books,,One Rainy Night Richard Laymon Leisure Books 
671886118,BRING ME CHILDREN,David Martin,Pocket,,BRING ME CHILDREN David Martin Pocket 
679410562,Cul-De-Sac,David Lozell Martin,Random House Inc,,Cul-De-Sac David Lozell Martin Random House Inc 
1551669676,Remember Me,Sharon Sala,Mira,,Remember Me Sharon Sala Mira 
843948507,The Traveling Vampire Show,Richard Laymon,Leisure Books,,The Traveling Vampire Show Richard Laymon Leisure Books 
373250304,The Thin Pink Line,Lauren Baratz-Logsted,Red Dress Ink,,The Thin Pink Line Lauren Baratz-Logsted Red Dress Ink 
373218974,Temptation,Nora Roberts,Silhouette,,Temptation Nora Roberts Silhouette 
743445597,Deadly Honeymoon,Lawrence Block,I Books,,Deadly Honeymoon Lawrence Block I Books 
373245645,"His Pretend Fiancee   Manhattan Multiples : Manhattan Multiples (Silhouette Special Edition, 1564)",Victoria Pade,Silhouette,,"His Pretend Fiancee   Manhattan Multiples : Manhattan Multiples (Silhouette Special Edition, 1564) Victoria Pade Silhouette "
440224810,Special Delivery: A Novel,Danielle Steel,Dell Publishing Company,,Special Delivery: A Novel Danielle Steel Dell Publishing Company 
1551667401,Out Of The Dark,Sharon Sala,Mira,,Out Of The Dark Sharon Sala Mira 
446602159,Commitments,Barbara Delinsky,Warner Books,,Commitments Barbara Delinsky Warner Books 
156027127,The Life Before Her Eyes,Laura Kasischke,Harvest Books,,The Life Before Her Eyes Laura Kasischke Harvest Books 
679412921,Mystery Ride,Robert Boswell,Alfred A. Knopf,,Mystery Ride Robert Boswell Alfred A. Knopf 
373218966,Sullivan's Woman (Silhouette Single Title),Nora Roberts,Silhouette,,Sullivan's Woman (Silhouette Single Title) Nora Roberts Silhouette 
155166416X,Sweet Baby,Sharon Sala,Mira,,Sweet Baby Sharon Sala Mira 
373239963,Waiting For Nick (Silhouette Special Edition),Nora Roberts,Silhouette,,Waiting For Nick (Silhouette Special Edition) Nora Roberts Silhouette 
440170796,The Promise,Danielle Steel,Dell,,The Promise Danielle Steel Dell 
767902238,Inc. Yourself: How to Profit by Setting Up Your Own Corporation (Inc. Yourself: How to Profit by Setting Up Your Own Corporation (Hardcover)),Judith H. McQuown,Broadway Books,,Inc. Yourself: How to Profit by Setting Up Your Own Corporation (Inc. Yourself: How to Profit by Setting Up Your Own Corporation (Hardcover)) Judith H. McQuown Broadway Books 
670844527,Dolores Claiborne,Stephen King,Viking Books,,Dolores Claiborne Stephen King Viking Books 
380731479,The Kiss,Kathryn Harrison,William Morrow,,The Kiss Kathryn Harrison William Morrow 
084395275X,Red Angel,Andrew Harper,Leisure Books,,Red Angel Andrew Harper Leisure Books 
743223128,Ghost Image : A Novel,Joshua Gilder,Simon &amp; Schuster,,Ghost Image : A Novel Joshua Gilder Simon &amp; Schuster 
843951958,Face,Tim Lebbon,Leisure Books,,Face Tim Lebbon Leisure Books 
61097748,Kill Me First,Kate Morgenroth,Avon,,Kill Me First Kate Morgenroth Avon 
451410963,Left to Die,Taylor Kincaid,Onyx Books,,Left to Die Taylor Kincaid Onyx Books 
743474104,Going Home,Danielle Steele,Pocket Books,,Going Home Danielle Steele Pocket Books 
312984618,Black for Remembrance,Carlene Thompson,St. Martin's Paperbacks,,Black for Remembrance Carlene Thompson St. Martin's Paperbacks 
048627165X,Best Remembered Poems,Martin Gardner,Dover Publications,,Best Remembered Poems Martin Gardner Dover Publications 
312253079,Alexandra: The Last Tsarina,Carolly Erickson,St. Martin's Press,,Alexandra: The Last Tsarina Carolly Erickson St. Martin's Press 
811823555,Things Unspoken,Anitra Sheen,Chronicle Books,,Things Unspoken Anitra Sheen Chronicle Books 
